ean,nome_produto,sub_segmento
7896279122603,STUDIO HAIR POMADA MODELADORA FIXADORA CAPILAR STUDIO HAIR TRANCAS 120 G x 1,
7896279114370,STUDIO HAIR POMADA MODELADORA MAX BARBERS 40 G x 1,
7896279109833,STUDIO HAIR PREMIU CONDICIONADOR ANTIQUEBRA 250 ML x 1,
7896014149063,STUDIO LINE GEL FIXADOR CABELOS CURTOS x 1,
7896014155156,STUDIO LINE GEL FIXADOR SPECIAL RADICAL 150 G x 1,
7896014188048,STUDIO LINE GEL INDESTRUCTIBLE FIXADOR EXTREME EFEITO MEMORIA 150 G x 1,
7896014123858,STUDIO LINE GEL INVISIGEL FIXACAO FORTE 150 G x 1,
7896006801719,STYLO GEL FIX 1 NEUTRO 255 G x 1,
7896006801702,STYLO GEL FIXADOR 2 ARGAN 255 G x 1,
7898422740825,SUAVE CONDICIONADOR FRUVIT ENERGY 350 ML x 1,
7891150057920,SUAVE CONDICIONADOR JASMIM E OLEOS ESSENCIAIS 750 ML x 1,
7891150057944,SUAVE CONDICIONADOR MEL E AMENDOA 750 ML x 1,
8880000260077,SUAVE CONDICIONADOR OLEO DE COCO E ABACATE 325 ML x 1,
8880000656979,SUAVE CONDICIONADOR OLEO DE COCO E JASMIM 350 ML x 1,
7891150074408,SUAVE GEL FIXADOR CAPILAR MEGA FORTE MEN 300 G x 1,
7891150057937,SUAVE SHAMPOO CABELO JASMIM E OLEOS ESSENCIAIS 750 ML x 1,
7891150057821,SUAVE SHAMPOO LAVANDA E BAMBU 750 ML x 1,
7891150057951,SUAVE SHAMPOO MEL E AMENDOAS 750 ML x 1,
7898633060446,SUED COSMETICOS CONDICIONADOR CRISTAL LISS 300 ML x 1,
7898633060453,SUED COSMETICOS CONDICIONADOR DOUBLE PURPLE 300 ML x 1,
7898633060460,SUED COSMETICOS CONDICIONADOR FORCE HAIR CAPILI 300 ML x 1,
7898633060477,SUED COSMETICOS CONDICIONADOR HIDRA NUTRY 300 ML x 1,
7898633060484,SUED COSMETICOS CONDICIONADOR LUXE OIL 300 ML x 1,
7898633060507,SUED COSMETICOS CONDICIONADOR MY VEGAN 300 ML x 1,
7898633060514,SUED COSMETICOS CONDICIONADOR PEELING PURIFIC 300 ML x 1,
7898633060521,SUED COSMETICOS CONDICIONADOR SENSATIONAL CURL 300 ML x 1,
7898633060750,SUED COSMETICOS CREME CAPILAR LEAVE IN CRISTAL LISS 240 ML x 1,
7898633060767,SUED COSMETICOS CREME CAPILAR LEAVE IN DOUBLE PURPLE 240 ML x 1,
7898633060774,SUED COSMETICOS CREME CAPILAR LEAVE IN FORCE HAIR CAPILI 240 ML x 1,
