cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
7891150091047,,7891150091047,LAVA ROUPA SURF 900ML RF CUIDAD COCO 5X1,,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150062825,,7891150062825,LAVA ROUPA LIQ OMO 3L LAVANDA,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7896098904015,,7896098904015,LAVA ROUPA LIQ TIXAN 3L ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098904039,,7896098904039,LAVA ROUPA LIQ TIXAN 1L RF ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150091269,,7891150091269,LAVA ROUPA LIQ OMO 1.8 ULTRA POWER,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7896040706186,,7896040706186,LAVA ROUPA COQUEL 1KG NATUREZA LIMPA,,,,,,,,COQUEL,,,,,,,,,,,,,,,,,,,,
7896098905081,,7896098905081,LAVA ROUPA YPE 800G POWER ACT,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098905098,,7896098905098,"LAVA ROUPA YPE 1,6KG POWER ACT",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909737,,7896098909737,LAVA ROUPA TIXAN 400G CONC MACIEZ,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909775,,7896098909775,"LAVA ROUPA TIXAN 1,6KG CONC MACIEZ",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909959,,7896098909959,"LAVA ROUPA TIXAN L1,6KG P1,520KG PRIMAV",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909720,,7896098909720,LAVA ROUPA TIXAN 400G CONC PRIMAVERA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909751,,7896098909751,LAVA ROUPA TIXAN 800G CONC MACIEZ,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909744,,7896098909744,LAVA ROUPA TIXAN 800G CONC PRIMAVERA,,,,,,,,TIXAN,,,,,,,,,,,,,,,,,,,,
7896098909904,,7896098909904,"LAVA ROUPA TIXAN L1,6KG P1,520KG MACIEZ",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909836,,7896098909836,LAVA ROUPA TIXAN 1.6KG SC CONC PRIMAV,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150087187,,7891150087187,"LAVA ROUPA OMO 2,2KG PROT ANTIODOR TAM F",,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7891150087118,,7891150087118,"LAVA ROUPA OMO 2,2KG CUIDADO INT TAM F",,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7891150087231,,7891150087231,"LAVA ROUPA OMO 2,2KG PURO CUIDADO TAM F",,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7896098906750,,7896098906750,LAVA ROUPA TIXAN 2.2KG PRIMAV EMB ECON,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098902790,,7896098902790,LAVA ROUPA TIXAN 800G CONC ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098903971,,7896098903971,LAVA ROUPA TIXAN 1.6KG CONC ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150080201,,7891150080201,SABAO PO OMO 1.6KG LAVANDA,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7896098905661,,7896098905661,LAVA ROUPA TIXAN 1KG SC ANTIBAC EMB ECON,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098909850,,7896098909850,"LAVA ROUPA TIXAN 2,4KG SC CONC PRIMAV",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
